# COMSOL wave_based_room listening point golden
# table,tbl1
# expression,pate.p_t and pate.p_t/(1[m/s]*pate.Z)
# pressure_unit,Pa
# normalized_unit,1
# receiver_point_ids,122,121,53,35
# receiver_coordinate_unit,m
# receiver_coordinate,122,1.2,1.3125,1
# receiver_coordinate,121,0.20000000000000001,0.875,1
# receiver_coordinate,53,-0.80000000000000004,0.4375,1
# receiver_coordinate,35,-1.8,0,1
time,p122,p121,p53,p35,pn122,pn121,pn53,pn35
0.00021852392987616162,-4.285588882869234e-47,8.315230143096781e-37,1.0574322752831131e-26,-1.9194272136287096e-16,-1.0412023524949549e-49,2.020221123201356e-39,2.569077442378798e-29,-4.6633314228102762e-19
0.0002208991899835112,-4.4846726705643719e-47,1.0411909718312874e-36,-6.9872978805508787e-27,-1.9678984959243325e-16,-1.0895706196706443e-49,2.5296184932732933e-39,-1.6975942372572593e-29,-4.7810944993302545e-19
0.00022327445009086077,-4.1917051320545703e-47,1.2192283460271039e-36,-2.964852936841655e-26,-1.9057738431084484e-16,-1.0183928892260862e-49,2.9621679932631293e-39,-7.2032384277008139e-29,-4.6301599686794184e-19
0.00022564971019821035,-3.1909330097636655e-47,1.3327442510002974e-36,-5.6899302092781957e-26,-1.7202234076113008e-16,-7.7525097418942315e-50,3.2379597934895469e-39,-1.3823931509422244e-28,-4.1793571613491276e-19
0.00022802497030555992,-1.2504093278255752e-47,1.3432005683463721e-36,-8.7677048043399505e-26,-1.4053925784939152e-16,-3.037923536991194e-50,3.2633638686743738e-39,-2.1301517989164118e-28,-3.4144620468754016e-19
0.0002304002304129095,1.8563464238682328e-47,1.2085094867978846e-36,-1.2031294458714262e-25,-9.639356784266684e-17,4.5100739161035787e-50,2.9361260612193509e-39,-2.9230550191239703e-28,-2.3419234169744132e-19
0.00023277549052025907,6.3191813595054915e-47,8.86277614727034e-37,-1.5251804405734089e-25,-4.0811245801311727e-17,1.5352724391412759e-49,2.1532497928256418e-39,-3.7054918381278157e-28,-9.9152686592108192e-20
0.00023515075062760865,1.2250062148880211e-46,3.3825661928569828e-37,-1.814202265844506e-25,2.3971492811108743e-17,2.9762055755296917e-49,8.2180908475631268e-40,-4.4076828616241643e-28,5.8239778452645149e-20
0.00023752601073495823,1.9632099483054814e-46,-4.6404532085214238e-37,-2.0366093836671748e-25,9.4732430066993464e-17,4.7697034701299356e-49,-1.1274181750537959e-39,-4.9480305725635931e-28,2.3015653563409494e-19
0.0002399012708423078,2.8260484170406461e-46,-1.5327735569177087e-36,-2.1555744791132506e-25,1.6737172589394229e-16,6.8660068441220759e-49,-3.7239396426572127e-39,-5.2370614166988598e-28,4.0663684619519512e-19
0.00024227653094965738,3.767864301488033e-46,-2.8565047396206837e-36,-2.1333188701645326e-25,2.3710940207522239e-16,9.154189265034095e-49,-6.9400017969404373e-39,-5.1829904522947828e-28,5.7606754634407773e-19
0.00024465179105700698,4.7114952172186849e-46,-4.3929222427564571e-36,-1.9340277783051036e-25,2.9877036700173702e-16,1.1446781382941411e-48,-1.0672794564520061e-38,-4.6988041261056942e-28,7.2587552721510462e-19
0.00024702705116435658,5.5427670400062837e-46,-6.0621105128336545e-36,-1.5272834870332477e-25,3.4714793940828787e-16,1.3466392225476881e-48,-1.4728159652171173e-38,-3.7106012804500677e-28,8.4341093150701622e-19
